Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1617073800.487068,1617073800.494904,2440,7.836103439331055,40,16,13341,15,5,10716,1921,
1617073800.667633,1617073800.73342,2441,65.78683853149414,40,27,19595,21,11,16289,2118,
1617073801.204621,1617073828.151438,2442,26946.81692123413,40,37,16770,13,28,10676,4466,
1617073801.384244,1617073801.616694,2443,232.45000839233398,40,31,20364,19,16,16215,2785,
1617073801.637613,1617073801.645463,2444,7.849931716918945,40,14,13155,13,5,10618,1921,
1617073801.816634,1617073801.819092,2445,2.4580955505371094,40,3,3836,3,0,3704,0,
1617073811.847685,1617073811.850158,2446,2.4728775024414062,40,3,3836,3,0,3704,0,
1617073823.978394,1617073824.007798,2447,29.4039249420166,40,26,19497,21,9,16311,2042,
1617073824.028925,1617073824.035845,2448,6.920099258422852,40,13,13068,13,4,10616,1880,
1617073824.504603,1617073824.506455,2449,1.8520355224609375,40,3,3836,3,0,3704,0,
1617073834.536526,1617073834.53897,2450,2.444028854370117,40,3,3836,3,0,3704,0,
1617073844.115578,1617073846.156715,2451,2041.1369800567627,40,29,20184,22,11,16358,2550,
1617073846.175353,1617073873.229626,2452,27054.272890090942,40,52,36908,31,25,27389,7231,
1617073846.428492,1617073846.867598,2453,439.1059875488281,40,35,25747,25,13,21770,2437,
1617073847.340471,1617073874.281958,2454,26941.487073898315,40,37,16715,13,28,10621,4466,
1617073847.368964,1617073847.371431,2455,2.4671554565429688,40,3,3836,3,0,3704,0,
1617073857.398737,1617073857.401337,2456,2.599954605102539,40,3,3836,3,0,3704,0,
1617073867.58003,1617073867.582482,2457,2.4521350860595703,40,3,3836,3,0,3704,0,
1617073877.912036,1617073877.914715,2458,2.679109573364258,40,3,3836,3,0,3704,0,
1617073887.644773,1617073887.908243,2459,263.469934463501,40,29,19962,21,13,16295,2391,
1617073887.927002,1617073887.935146,2460,8.144140243530273,40,14,13159,13,5,10622,1921,
1617073889.008784,1617073889.011243,2461,2.4590492248535156,40,3,3836,3,0,3704,0,
1617073898.134801,1617073898.13714,2462,2.3391246795654297,40,3,3836,3,0,3704,0,
1617073908.167953,1617073935.119238,2463,26951.284885406494,40,37,16710,13,28,10616,4466,
1617073908.196604,1617073908.204875,2464,8.270978927612305,40,13,13078,13,4,10626,1880,
1617073908.224181,1617073908.230911,2465,6.730079650878906,40,13,13076,13,4,10624,1880,
1617073908.704924,1617073935.714068,2466,27009.143829345703,40,41,21189,19,26,16205,3180,
1617073908.915448,1617073935.870396,2467,26954.94794845581,40,37,16717,13,28,10623,4466,
1617073908.943564,1617073935.882705,2468,26939.141035079956,40,37,16715,13,28,10621,4466,
1617073909.123615,1617073909.145539,2469,21.92401885986328,40,26,19710,21,9,16303,2263,
1617073909.167215,1617073909.662946,2470,495.7308769226074,40,31,15980,20,15,11909,2707,
1617073909.835235,1617073909.843066,2471,7.83085823059082,40,13,13076,13,4,10624,1880,
1617073910.91332,1617073910.91553,2472,2.209901809692383,40,3,3836,3,0,3704,0,
1617073922.143077,1617073922.150417,2473,7.340192794799805,40,13,13075,13,4,10623,1880,
1617073922.169503,1617073922.22927,2474,59.76700782775879,40,29,19756,21,12,16303,2177,
1617073922.250448,1617073922.253186,2475,2.7379989624023438,40,3,3836,3,0,3704,0,
1617073932.432169,1617073932.434472,2476,2.3031234741210938,40,3,3836,3,0,3704,0,
1617073942.31403,1617073942.321725,2477,7.69495964050293,40,14,13162,13,5,10625,1921,
1617073942.492467,1617073942.500659,2478,8.192062377929688,40,13,13078,13,4,10626,1880,
1617073942.672649,1617073942.675095,2479,2.4461746215820312,40,3,3836,3,0,3704,0,
1617073952.550717,1617073952.553551,2480,2.833843231201172,40,3,3836,3,0,3704,0,
1617073962.581518,1617073962.58433,2481,2.8121471405029297,40,3,3836,3,0,3704,0,
1617073972.614587,1617073972.622512,2482,7.9250335693359375,40,14,13155,13,5,10618,1921,
1617073972.643321,1617073972.649725,2483,6.403923034667969,40,14,13162,13,5,10625,1921,
1617073972.668816,1617073972.671298,2484,2.4819374084472656,40,3,3836,3,0,3704,0,
1617073982.85148,1617073982.853942,2485,2.4619102478027344,40,3,3836,3,0,3704,0,
1617073992.729419,1617073992.737148,2486,7.729053497314453,40,13,13077,13,4,10625,1880,
1617073992.908744,1617073992.916476,2487,7.731914520263672,40,13,13072,13,4,10620,1880,
1617073992.937572,1617073992.940106,2488,2.5339126586914062,40,3,3836,3,0,3704,0,
1617074005.221784,1617074005.45138,2489,229.59589958190918,40,32,25732,25,10,21779,2545,
1617074005.473063,1617074005.480748,2490,7.684946060180664,40,13,13076,13,4,10624,1880,
1617074005.501076,1617074005.503511,2491,2.434968948364258,40,3,3836,3,0,3704,0,
