Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1616976786.712925,1616976786.721657,215,8.732080459594727,0,19,19247,18,5,16490,1921,
1616976786.724961,1616976786.733152,216,8.19087028503418,0,21,19421,20,5,16576,1921,
1616976786.73684,1616976786.745086,217,8.24594497680664,0,21,19431,20,5,16586,1921,
1616976786.748063,1616976786.758871,218,10.807991027832031,0,19,19241,18,5,16484,1921,
1616976786.761734,1616976786.769575,219,7.8411102294921875,0,19,19238,18,5,16481,1921,
1616976786.772965,1616976786.781766,220,8.800983428955078,0,19,19250,18,5,16493,1921,
1616976786.784876,1616976786.795722,221,10.84589958190918,0,19,19241,18,5,16484,1921,
1616976786.799314,1616976786.807416,222,8.101940155029297,0,19,19239,18,5,16482,1921,
1616976786.811159,1616976786.821807,223,10.648012161254883,0,19,19248,18,5,16491,1921,
1616976786.824844,1616976786.83421,224,9.366035461425781,0,19,19250,18,5,16493,1921,
1616976786.837973,1616976786.847773,225,9.799957275390625,0,19,19240,18,5,16483,1921,
1616976786.853577,1616976786.862706,226,9.129047393798828,0,19,19243,18,5,16486,1921,
1616976786.86603,1616976786.874309,227,8.279085159301758,0,19,19244,18,5,16487,1921,
1616976786.877951,1616976786.884779,228,6.828069686889648,0,19,19244,18,5,16487,1921,
1616976786.887992,1616976786.898128,229,10.136127471923828,0,19,19242,18,5,16485,1921,
1616976786.90215,1616976786.912354,230,10.204076766967773,0,19,19246,18,5,16489,1921,
1616976786.915861,1616976786.92268,231,6.819009780883789,0,19,19238,18,5,16481,1921,
1616976786.926236,1616976786.933627,232,7.3909759521484375,0,19,19244,18,5,16487,1921,
1616976786.937579,1616976786.945468,233,7.889032363891602,0,19,19242,18,5,16485,1921,
1616976786.949481,1616976786.957966,234,8.485078811645508,0,19,19248,18,5,16491,1921,
1616976786.962019,1616976786.970859,235,8.840084075927734,0,19,19249,18,5,16492,1921,
1616976786.974594,1616976786.984586,236,9.991884231567383,0,19,19249,18,5,16492,1921,
1616976786.988519,1616976786.997897,237,9.37795639038086,0,19,19246,18,5,16489,1921,
1616976787.001663,1616976787.01002,238,8.357048034667969,0,19,19240,18,5,16483,1921,
1616976787.013045,1616976787.020909,239,7.8639984130859375,0,19,19239,18,5,16482,1921,
1616976787.025015,1616976787.032539,240,7.523775100708008,0,19,19247,18,5,16490,1921,
1616976787.035988,1616976787.04518,241,9.19198989868164,0,19,19245,18,5,16488,1921,
1616976787.049715,1616976787.05763,242,7.915019989013672,0,19,19244,18,5,16487,1921,
1616976787.061481,1616976787.071137,243,9.655952453613281,0,19,19238,18,5,16481,1921,
1616976787.074484,1616976787.082766,244,8.281946182250977,0,19,19250,18,5,16493,1921,
1616976787.085256,1616976787.093482,245,8.22591781616211,0,19,19239,18,5,16482,1921,
1616976787.096975,1616976787.106161,246,9.186029434204102,0,19,19241,18,5,16484,1921,
1616976787.109967,1616976787.11785,247,7.8830718994140625,0,19,19244,18,5,16487,1921,
1616976787.121088,1616976787.130415,248,9.326934814453125,0,19,19245,18,5,16488,1921,
1616976787.134133,1616976787.143426,249,9.292840957641602,0,19,19247,18,5,16490,1921,
1616976787.147559,1616976787.156849,250,9.289979934692383,0,19,19243,18,5,16486,1921,
1616976787.160043,1616976787.168798,251,8.754968643188477,0,21,19429,20,5,16584,1921,
1616976787.172513,1616976787.180832,252,8.318901062011719,0,19,19242,18,5,16485,1921,
1616976787.18432,1616976787.195397,253,11.076927185058594,0,19,19238,18,5,16481,1921,
1616976787.198049,1616976787.206795,254,8.745908737182617,0,19,19242,18,5,16485,1921,
1616976787.209834,1616976787.219599,255,9.764909744262695,0,19,19238,18,5,16481,1921,
1616976787.222625,1616976787.232602,256,9.976863861083984,0,19,19241,18,5,16484,1921,
1616976787.236533,1616976787.245102,257,8.569002151489258,0,19,19242,18,5,16485,1921,
1616976787.248625,1616976787.258693,258,10.067939758300781,0,19,19250,18,5,16493,1921,
1616976787.261518,1616976787.27038,259,8.862018585205078,0,19,19250,18,5,16493,1921,
1616976787.273229,1616976787.28365,260,10.421037673950195,0,19,19244,18,5,16486,1922,
1616976787.287115,1616976787.295798,261,8.682966232299805,0,19,19239,18,5,16482,1921,
1616976787.298509,1616976787.306322,262,7.813215255737305,0,19,19245,18,5,16488,1921,
1616976787.310223,1616976787.318326,263,8.102893829345703,0,19,19244,18,5,16487,1921,
1616976787.32267,1616976787.331574,264,8.903980255126953,0,19,19244,18,5,16487,1921,
1616976787.334773,1616976787.34295,265,8.177042007446289,0,19,19248,18,5,16491,1921,
1616976787.346758,1616976787.357592,266,10.834217071533203,0,19,19248,18,5,16491,1921,
1616976787.360429,1616976787.368884,267,8.455038070678711,0,19,19241,18,5,16484,1921,
1616976787.371878,1616976787.379411,268,7.533073425292969,0,19,19243,18,5,16486,1921,
1616976787.382716,1616976787.391401,269,8.685111999511719,0,19,19247,18,5,16490,1921,
1616976787.394981,1616976787.403289,270,8.308172225952148,0,19,19240,18,5,16483,1921,
1616976787.406525,1616976787.41589,271,9.365081787109375,0,19,19238,18,5,16481,1921,
1616976787.419019,1616976787.427249,272,8.229970932006836,0,19,19248,18,5,16491,1921,
1616976787.430814,1616976787.437669,273,6.855010986328125,0,19,19240,18,5,16483,1921,
1616976787.441631,1616976787.451793,274,10.161876678466797,0,19,19245,18,5,16488,1921,
1616976787.454849,1616976787.462955,275,8.105993270874023,0,19,19249,18,5,16492,1921,
1616976787.467217,1616976787.476864,276,9.647130966186523,0,19,19241,18,5,16484,1921,
1616976787.48107,1616976787.490429,277,9.358882904052734,0,19,19248,18,5,16491,1921,
1616976787.493498,1616976787.500737,278,7.238864898681641,0,19,19241,18,5,16484,1921,
1616976787.504393,1616976787.514502,279,10.10894775390625,0,19,19244,18,5,16487,1921,
1616976787.517706,1616976787.525304,280,7.598161697387695,0,19,19249,18,5,16492,1921,
1616976787.529129,1616976787.537772,281,8.642911911010742,0,19,19242,18,5,16485,1921,
1616976787.542362,1616976787.551632,282,9.269952774047852,0,19,19240,18,5,16483,1921,
1616976787.554689,1616976787.563694,283,9.005069732666016,0,19,19244,18,5,16487,1921,
1616976787.567256,1616976787.576682,284,9.426116943359375,0,19,19246,18,5,16489,1921,
1616976787.580263,1616976787.588531,285,8.268117904663086,0,19,19241,18,5,16484,1921,
1616976787.591561,1616976787.600271,286,8.709907531738281,0,19,19244,18,5,16487,1921,
1616976787.602961,1616976787.610534,287,7.57288932800293,0,19,19247,18,5,16490,1921,
1616976787.613619,1616976787.623032,288,9.413003921508789,0,19,19246,18,5,16489,1921,
1616976787.626754,1616976787.636822,289,10.067939758300781,0,19,19242,18,5,16485,1921,
1616976787.640011,1616976787.648222,290,8.210897445678711,0,19,19239,18,5,16482,1921,
1616976787.651972,1616976787.66076,291,8.787870407104492,0,19,19246,18,5,16489,1921,
1616976787.664536,1616976787.672939,292,8.40306282043457,0,19,19247,18,5,16490,1921,
1616976787.67719,1616976787.685093,293,7.902860641479492,0,19,19238,18,5,16481,1921,
1616976787.688348,1616976787.697079,294,8.730888366699219,0,19,19239,18,5,16482,1921,
1616976787.700326,1616976787.709033,295,8.707046508789062,0,19,19240,18,5,16483,1921,
1616976787.711906,1616976787.719142,296,7.236003875732422,0,21,19423,20,5,16578,1921,
1616976787.723182,1616976787.732763,297,9.58108901977539,0,19,19240,18,5,16483,1921,
1616976787.735597,1616976787.743925,298,8.32819938659668,0,19,19248,18,5,16491,1921,
1616976787.747928,1616976787.757198,299,9.270191192626953,0,19,19242,18,5,16485,1921,
1616976787.760081,1616976787.769119,300,9.037971496582031,0,19,19247,18,5,16490,1921,
1616976787.77209,1616976787.780325,301,8.234977722167969,0,19,19244,18,5,16487,1921,
1616976787.783949,1616976787.793014,302,9.06515121459961,0,19,19250,18,5,16493,1921,
1616976787.79602,1616976787.805931,303,9.911060333251953,0,19,19249,18,5,16492,1921,
1616976787.809277,1616976787.817709,304,8.43191146850586,0,19,19240,18,5,16483,1921,
1616976787.821347,1616976787.829763,305,8.415937423706055,0,19,19243,18,5,16486,1921,
1616976787.832746,1616976787.842079,306,9.332895278930664,0,19,19238,18,5,16481,1921,
1616976787.845718,1616976787.856784,307,11.066198348999023,0,19,19242,18,5,16485,1921,
1616976787.8595,1616976787.869077,308,9.577035903930664,0,19,19239,18,5,16482,1921,
1616976787.872588,1616976787.880088,309,7.500171661376953,0,19,19245,18,5,16488,1921,
1616976787.883172,1616976787.891731,310,8.558988571166992,0,19,19240,18,5,16483,1921,
1616976787.895504,1616976787.905431,311,9.927034378051758,0,19,19246,18,5,16489,1921,
1616976787.909109,1616976787.918199,312,9.089946746826172,0,19,19247,18,5,16490,1921,
1616976787.921489,1616976787.930495,313,9.006023406982422,0,19,19238,18,5,16481,1921,
1616976787.934324,1616976787.942205,314,7.880926132202148,0,19,19243,18,5,16486,1921,
1616976787.945079,1616976787.953109,315,8.029937744140625,0,19,19248,18,5,16491,1921,
1616976787.956727,1616976787.964245,316,7.51805305480957,0,19,19249,18,5,16492,1921,
1616976787.967779,1616976787.974923,317,7.143974304199219,0,19,19247,18,5,16490,1921,
1616976787.977825,1616976787.985764,318,7.93910026550293,0,19,19244,18,5,16487,1921,
1616976787.989613,1616976787.999154,319,9.541034698486328,0,19,19248,18,5,16491,1921,
1616976788.003001,1616976788.013743,320,10.741949081420898,0,19,19250,18,5,16493,1921,
1616976788.017187,1616976788.026321,321,9.13381576538086,0,19,19244,18,5,16487,1921,
1616976788.02981,1616976788.037562,322,7.751941680908203,0,19,19241,18,5,16484,1921,
1616976788.040208,1616976788.048005,323,7.797002792358398,0,19,19241,18,5,16484,1921,
1616976788.051252,1616976788.059759,324,8.507013320922852,0,19,19239,18,5,16482,1921,
1616976788.063136,1616976788.070809,325,7.672786712646484,0,19,19247,18,5,16490,1921,
1616976788.075278,1616976788.084442,326,9.163856506347656,0,19,19238,18,5,16481,1921,
1616976788.0882,1616976788.095473,327,7.272958755493164,0,19,19245,18,5,16488,1921,
1616976788.098694,1616976788.107022,328,8.327960968017578,0,19,19250,18,5,16493,1921,
1616976788.110582,1616976788.118139,329,7.556915283203125,0,19,19249,18,5,16492,1921,
1616976788.120745,1616976788.128066,330,7.32111930847168,0,19,19246,18,5,16489,1921,
1616976788.132149,1616976788.141315,331,9.16600227355957,0,19,19246,18,5,16489,1921,
1616976788.144628,1616976788.153277,332,8.648872375488281,0,19,19247,18,5,16490,1921,
1616976788.15594,1616976788.167634,333,11.693954467773438,0,19,19243,18,5,16486,1921,
1616976788.171293,1616976788.180676,334,9.382963180541992,0,19,19243,18,5,16486,1921,
1616976788.184026,1616976788.192644,335,8.617877960205078,0,19,19242,18,5,16485,1921,
1616976788.196135,1616976788.205296,336,9.160995483398438,0,19,19239,18,5,16482,1921,
1616976788.208178,1616976788.216911,337,8.733034133911133,0,19,19244,18,5,16487,1921,
