Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1616976499.391476,1616976499.398058,509,6.582021713256836,0,16,15725,15,5,13100,1921,
1616976499.401531,1616976499.409123,510,7.591962814331055,0,16,15728,15,5,13103,1921,
1616976499.412581,1616976499.419721,511,7.139921188354492,0,16,15724,15,5,13099,1921,
1616976499.422952,1616976499.431088,512,8.13603401184082,0,16,15721,15,5,13096,1921,
1616976499.433882,1616976499.441306,513,7.424116134643555,0,16,15723,15,5,13098,1921,
1616976499.444183,1616976499.45186,514,7.676839828491211,0,16,15727,15,5,13102,1921,
1616976499.454474,1616976499.462903,515,8.42905044555664,0,16,15721,15,5,13096,1921,
1616976499.466598,1616976499.474803,516,8.204936981201172,0,16,15721,15,5,13096,1921,
1616976499.477831,1616976499.486558,517,8.727073669433594,0,16,15731,15,5,13106,1921,
1616976499.489796,1616976499.497487,518,7.691144943237305,0,16,15723,15,5,13098,1921,
1616976499.50146,1616976499.510157,519,8.697032928466797,0,16,15732,15,5,13107,1921,
1616976499.51356,1616976499.520183,520,6.623029708862305,0,16,15731,15,5,13106,1921,
1616976499.52373,1616976499.531698,521,7.967948913574219,0,16,15729,15,5,13104,1921,
1616976499.534526,1616976499.541249,522,6.722927093505859,0,16,15730,15,5,13105,1921,
1616976499.545019,1616976499.553301,523,8.282184600830078,0,16,15733,15,5,13108,1921,
1616976499.557173,1616976499.56535,524,8.177042007446289,0,16,15722,15,5,13097,1921,
1616976499.56786,1616976499.575683,525,7.82322883605957,0,16,15732,15,5,13107,1921,
1616976499.57913,1616976499.58628,526,7.150173187255859,0,16,15727,15,5,13102,1921,
1616976499.589596,1616976499.597257,527,7.660865783691406,0,16,15725,15,5,13100,1921,
1616976499.601026,1616976499.608806,528,7.779836654663086,0,16,15721,15,5,13096,1921,
1616976499.612139,1616976499.618697,529,6.557941436767578,0,16,15732,15,5,13107,1921,
1616976499.621775,1616976499.630389,530,8.614063262939453,0,16,15727,15,5,13102,1921,
1616976499.633476,1616976499.641503,531,8.027076721191406,0,16,15733,15,5,13108,1921,
1616976499.644883,1616976499.653181,532,8.298158645629883,0,16,15722,15,5,13097,1921,
1616976499.656883,1616976499.665028,533,8.14509391784668,0,18,15908,17,5,13195,1921,
1616976499.668132,1616976499.676212,534,8.080005645751953,0,16,15725,15,5,13100,1921,
1616976499.679795,1616976499.687636,535,7.840871810913086,0,16,15733,15,5,13108,1921,
1616976499.69122,1616976499.698289,536,7.068872451782227,0,16,15722,15,5,13097,1921,
1616976499.702046,1616976499.709477,537,7.4310302734375,0,16,15722,15,5,13097,1921,
1616976499.713385,1616976499.720221,538,6.8359375,0,16,15733,15,5,13108,1921,
1616976499.723737,1616976499.731226,539,7.48896598815918,0,16,15733,15,5,13108,1921,
1616976499.734604,1616976499.74289,540,8.285999298095703,0,16,15730,15,5,13105,1921,
1616976499.747125,1616976499.754644,541,7.519006729125977,0,16,15726,15,5,13101,1921,
1616976499.757378,1616976499.765246,542,7.8678131103515625,0,16,15730,15,5,13105,1921,
1616976499.76816,1616976499.774899,543,6.738901138305664,0,16,15732,15,5,13107,1921,
1616976499.778379,1616976499.787037,544,8.65793228149414,0,16,15727,15,5,13102,1921,
1616976499.790704,1616976499.798108,545,7.404088973999023,0,16,15730,15,5,13105,1921,
1616976499.80134,1616976499.809393,546,8.052825927734375,0,16,15726,15,5,13101,1921,
1616976499.813196,1616976499.820795,547,7.599115371704102,0,16,15725,15,5,13100,1921,
1616976499.824492,1616976499.832176,548,7.683992385864258,0,16,15721,15,5,13096,1921,
1616976499.835727,1616976499.842745,549,7.018089294433594,0,16,15727,15,5,13102,1921,
1616976499.845451,1616976499.853466,550,8.014917373657227,0,16,15722,15,5,13097,1921,
1616976499.856537,1616976499.863918,551,7.380962371826172,0,16,15729,15,5,13104,1921,
1616976499.866542,1616976499.87352,552,6.97779655456543,0,16,15725,15,5,13100,1921,
1616976499.877503,1616976499.885781,553,8.278131484985352,0,16,15728,15,5,13103,1921,
1616976499.888755,1616976499.896121,554,7.365942001342773,0,16,15731,15,5,13106,1921,
1616976499.89965,1616976499.907938,555,8.287906646728516,0,16,15723,15,5,13098,1921,
1616976499.91086,1616976499.918084,556,7.223844528198242,0,16,15730,15,5,13105,1921,
1616976499.921952,1616976499.929195,557,7.242918014526367,0,16,15726,15,5,13101,1921,
1616976499.931779,1616976499.939573,558,7.79414176940918,0,16,15731,15,5,13106,1921,
1616976499.942303,1616976499.950171,559,7.868051528930664,0,16,15722,15,5,13097,1921,
1616976499.953812,1616976499.961654,560,7.842063903808594,0,16,15723,15,5,13098,1921,
1616976499.964971,1616976499.972443,561,7.472038269042969,0,16,15732,15,5,13107,1921,
1616976499.97574,1616976499.983141,562,7.400989532470703,0,16,15726,15,5,13101,1921,
1616976499.986707,1616976499.994538,563,7.831096649169922,0,16,15726,15,5,13101,1921,
1616976499.998118,1616976500.006709,564,8.591175079345703,0,16,15733,15,5,13108,1921,
1616976500.009961,1616976500.017803,565,7.842063903808594,0,16,15724,15,5,13099,1921,
1616976500.02055,1616976500.030381,566,9.830951690673828,0,16,15729,15,5,13104,1921,
1616976500.034337,1616976500.042415,567,8.077859878540039,0,16,15725,15,5,13100,1921,
1616976500.045623,1616976500.052636,568,7.012844085693359,0,16,15725,15,5,13100,1921,
1616976500.056342,1616976500.063622,569,7.280111312866211,0,16,15725,15,5,13100,1921,
1616976500.066906,1616976500.074356,570,7.450103759765625,0,16,15721,15,5,13096,1921,
1616976500.077627,1616976500.085206,571,7.57908821105957,0,16,15733,15,5,13108,1921,
1616976500.089038,1616976500.095637,572,6.599187850952148,0,16,15725,15,5,13100,1921,
1616976500.099111,1616976500.106883,573,7.771968841552734,0,16,15728,15,5,13103,1921,
1616976500.11039,1616976500.117562,574,7.172107696533203,0,16,15728,15,5,13103,1921,
1616976500.121485,1616976500.128128,575,6.643056869506836,0,16,15732,15,5,13107,1921,
1616976500.132667,1616976500.139675,576,7.007837295532227,0,16,15732,15,5,13107,1921,
1616976500.143416,1616976500.150451,577,7.035017013549805,0,16,15723,15,5,13098,1921,
