Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1616977204.834798,1616977204.840195,178,5.396842956542969,0,11,8925,10,5,6520,1921,
1616977204.843551,1616977204.849686,179,6.134986877441406,0,11,8929,10,5,6524,1921,
1616977204.852829,1616977204.859595,180,6.766080856323242,0,11,8921,10,5,6516,1921,
1616977204.862119,1616977204.869573,181,7.454156875610352,0,11,8927,10,5,6522,1921,
1616977204.873012,1616977204.880181,182,7.169008255004883,0,11,8926,10,5,6521,1921,
1616977204.884062,1616977204.889458,183,5.3958892822265625,0,11,8933,10,5,6528,1921,
1616977204.892881,1616977204.900002,184,7.121086120605469,0,11,8922,10,5,6517,1921,
1616977204.903778,1616977204.909691,185,5.913019180297852,0,11,8923,10,5,6518,1921,
1616977204.913609,1616977204.919796,186,6.186962127685547,0,11,8923,10,5,6518,1921,
1616977204.922475,1616977204.928744,187,6.268978118896484,0,11,8925,10,5,6520,1921,
1616977204.93224,1616977204.93787,188,5.630016326904297,0,11,8931,10,5,6526,1921,
1616977204.941513,1616977204.94771,189,6.1969757080078125,0,11,8926,10,5,6521,1921,
1616977204.951655,1616977204.959403,190,7.748126983642578,0,11,8920,10,5,6515,1921,
1616977204.962268,1616977204.969115,191,6.846904754638672,0,11,8923,10,5,6518,1921,
1616977204.97289,1616977204.979837,192,6.947040557861328,0,11,8936,10,5,6531,1921,
1616977204.98275,1616977204.990933,193,8.183002471923828,0,11,8935,10,5,6530,1921,
1616977204.994321,1616977205.001245,194,6.923913955688477,0,11,8929,10,5,6524,1921,
1616977205.004663,1616977205.010369,195,5.706071853637695,0,11,8933,10,5,6528,1921,
1616977205.013906,1616977205.019256,196,5.3501129150390625,0,11,8935,10,5,6530,1921,
1616977205.022198,1616977205.029682,197,7.483959197998047,0,11,8930,10,5,6525,1921,
1616977205.033247,1616977205.03873,198,5.482912063598633,0,11,8928,10,5,6523,1921,
1616977205.042174,1616977205.048617,199,6.442785263061523,0,11,8927,10,5,6522,1921,
1616977205.051227,1616977205.057678,200,6.450891494750977,0,11,8929,10,5,6524,1921,
1616977205.061058,1616977205.067261,201,6.202936172485352,0,11,8929,10,5,6524,1921,
1616977205.070839,1616977205.076522,202,5.683183670043945,0,11,8929,10,5,6524,1921,
1616977205.079145,1616977205.086955,203,7.810115814208984,0,11,8936,10,5,6531,1921,
1616977205.090401,1616977205.097535,204,7.133960723876953,0,11,8921,10,5,6516,1921,
1616977205.101198,1616977205.107494,205,6.2961578369140625,0,11,8920,10,5,6515,1921,
1616977205.110981,1616977205.117195,206,6.213903427124023,0,11,8937,10,5,6532,1921,
1616977205.121233,1616977205.127822,207,6.588935852050781,0,11,8935,10,5,6530,1921,
