Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1640,4.539012908935547,10,12,6395,8,8,3958,1909,
1641,3.8640499114990234,10,12,6394,8,8,3957,1909,
1642,3.4439563751220703,10,11,6313,8,7,3953,1876,
1643,23.7729549407959,10,16,7008,10,11,4088,2216,
1644,0.0,10,1,1244,2,0,1200,0,
1645,4.44793701171875,10,14,6602,7,10,3961,2025,
1646,3.5331249237060547,10,12,6399,8,8,3962,1909,
1647,3.8728713989257812,10,12,6395,8,8,3958,1909,
1648,3.979921340942383,10,12,6397,8,8,3960,1909,
1649,3.4360885620117188,10,12,6393,8,8,3956,1909,
1650,3.7069320678710938,10,12,6390,8,8,3953,1909,
1651,3.6389827728271484,10,12,6387,8,8,3950,1909,
1652,52.03700065612793,10,18,7211,10,13,4088,2331,
1653,4.209041595458984,10,12,6396,8,8,3959,1909,
1654,0.0,10,1,1244,2,0,1200,0,
1655,26947.139024734497,10,37,8955,9,32,4082,3245,
1656,3.261089324951172,10,12,6397,8,8,3960,1909,
1657,3.4210681915283203,10,12,6390,8,8,3953,1909,
1658,3.1960010528564453,10,11,6322,8,7,3962,1876,
1659,3.4940242767333984,10,12,6399,8,8,3962,1909,
1660,26990.088939666748,10,33,8720,10,28,4087,3181,
1661,3.651142120361328,10,13,6638,8,9,3962,2104,
1662,4.372119903564453,10,14,6602,8,10,3961,2025,
1663,8.093118667602539,10,16,6915,8,12,3962,2249,
1664,3.599882125854492,10,11,6320,8,7,3959,1877,
1665,7.1620941162109375,10,16,6912,8,12,3959,2249,
1666,0.0,10,1,1244,2,0,1200,0,
1667,22.78304100036621,10,15,6876,9,10,4081,2135,
1668,0.0,10,1,1244,2,0,1200,0,
1669,4.2171478271484375,10,12,6393,7,8,3956,1909,
1670,3.7598609924316406,10,12,6399,8,8,3962,1909,
1671,19.04916763305664,10,16,7011,10,11,4089,2218,
1672,3.3991336822509766,10,12,6398,8,8,3961,1909,
1673,4.031896591186523,10,12,6397,8,8,3960,1909,
1674,3.896951675415039,10,12,6398,8,8,3961,1909,
1675,3.403902053833008,10,12,6397,8,8,3960,1909,
1676,3.3071041107177734,10,12,6396,8,8,3959,1909,
1677,3.4830570220947266,10,12,6391,8,8,3954,1909,
1678,26973.63805770874,10,28,7972,8,24,3951,2789,
1679,4.171133041381836,10,12,6393,8,8,3956,1909,
1680,3.4520626068115234,10,12,6395,8,8,3958,1909,
1681,4.00996208190918,10,12,6387,8,8,3950,1909,
1682,3.9870738983154297,10,12,6399,8,8,3962,1909,
1683,21.352052688598633,10,16,6999,10,11,4079,2216,
1684,3.9930343627929688,10,12,6399,8,8,3962,1909,
1685,3.757953643798828,10,12,6391,8,8,3954,1909,
1686,0.0,10,1,1244,2,0,1200,0,
1687,5.346059799194336,10,14,6602,7,10,3961,2025,
1688,0.0,10,1,1244,2,0,1200,0,
1689,8.909225463867188,10,16,6914,7,12,3958,2252,
1690,4.508018493652344,10,12,6389,8,8,3952,1909,
1691,4.15802001953125,10,13,6628,8,9,3952,2104,
1692,0.0,10,1,1244,2,0,1200,0,
1693,4.904985427856445,10,13,6632,7,9,3956,2104,
1694,3.3419132232666016,10,12,6393,8,8,3956,1909,
1695,18.5699462890625,10,16,7006,10,11,4086,2216,
1696,3.290891647338867,10,11,6314,8,7,3953,1877,
1697,26972.978830337524,10,28,7976,8,24,3955,2789,
1698,3.7679672241210938,10,12,6391,8,8,3954,1909,
1699,3.490924835205078,10,12,6392,8,8,3955,1909,
1700,26971.47297859192,10,28,7971,8,24,3950,2789,
1701,3.7539005279541016,10,12,6392,8,8,3955,1909,
1702,4.112005233764648,10,12,6396,8,8,3959,1909,
1703,3.7081241607666016,10,12,6394,8,8,3957,1909,
1704,3.7250518798828125,10,12,6387,8,8,3950,1909,
1705,18.69487762451172,10,16,7001,10,11,4081,2216,
1706,4.601001739501953,10,12,6391,8,8,3954,1909,
1707,3.988981246948242,10,12,6388,8,8,3951,1909,
1708,4.148960113525391,10,12,6396,8,8,3959,1909,
1709,18.098115921020508,10,15,6926,10,10,4082,2184,
1710,3.662109375,10,12,6392,8,8,3955,1909,
1711,3.5538673400878906,10,14,6595,8,10,3954,2025,
1712,3.9548873901367188,10,12,6390,8,8,3953,1909,
1713,21.06189727783203,10,16,7003,10,11,4083,2216,
1714,3.674030303955078,10,11,6314,8,7,3953,1877,
1715,3.628969192504883,10,14,6592,8,10,3951,2025,
1716,3.5910606384277344,10,12,6395,8,8,3958,1909,
1717,3.6628246307373047,10,12,6396,8,8,3959,1909,
1718,3.531932830810547,10,12,6390,8,8,3953,1909,
1719,4.108905792236328,10,14,6598,8,10,3957,2025,
1720,26975.51417350769,10,28,7977,8,24,3956,2789,
1721,48.902034759521484,10,18,7214,10,13,4091,2331,
1722,4.376888275146484,10,12,6397,8,8,3960,1909,
1723,19.51003074645996,10,16,7002,10,11,4082,2216,
1724,3.7560462951660156,10,12,6390,8,8,3953,1909,
1725,17.755985260009766,10,16,7008,10,11,4088,2216,
1726,3.281831741333008,10,11,6312,8,7,3952,1876,
1727,3.6978721618652344,10,13,6628,8,9,3952,2104,
1728,33.1881046295166,10,15,6723,8,11,3956,2107,
1729,4.8770904541015625,10,12,6396,8,8,3959,1909,
1730,5.012989044189453,10,12,6390,8,8,3953,1909,
1731,4.620075225830078,10,12,6394,8,8,3957,1909,
1732,0.0,10,1,1244,2,0,1200,0,
1733,0.0,10,1,1244,1,0,1200,0,
1734,5.898952484130859,10,12,6392,7,8,3955,1909,
1735,5.095958709716797,10,12,6390,8,8,3953,1909,
1736,5.747079849243164,10,12,6394,8,8,3957,1909,
1737,3.754138946533203,10,13,6628,8,9,3952,2104,
1738,20.25604248046875,10,16,7010,10,11,4090,2216,
1739,26968.202829360962,10,28,7977,8,24,3956,2789,
1740,0.0,10,1,1244,2,0,1200,0,
1741,25.30813217163086,10,16,7001,9,11,4081,2216,
1742,4.032135009765625,10,12,6392,8,8,3955,1909,
1743,3.721952438354492,10,12,6394,8,8,3957,1909,
1744,36.61298751831055,10,14,6600,8,10,3957,2027,
1745,18.948078155517578,10,16,7008,10,11,4088,2216,
1746,26973.8450050354,10,27,7899,8,23,3952,2759,
1747,3.7610530853271484,10,12,6392,8,8,3955,1909,
1748,6.207942962646484,10,14,6600,8,10,3959,2025,
1749,26967.886209487915,10,28,7978,8,24,3957,2789,
1750,26971.81987762451,10,27,7901,8,23,3954,2759,
1751,0.0,10,1,1244,2,0,1200,0,
1752,4.903078079223633,10,12,6394,7,8,3957,1909,
1753,0.0,10,1,1244,2,0,1200,0,
1754,5.388975143432617,10,12,6398,7,8,3961,1909,
1755,5.321979522705078,10,12,6389,8,8,3952,1909,
1756,20.87092399597168,10,16,7004,10,11,4084,2216,
1757,48.60091209411621,10,18,7212,10,13,4089,2331,
1758,4.137992858886719,10,12,6394,8,8,3957,1909,
1759,0.0,10,1,1244,2,0,1200,0,
1760,0.0,10,1,1244,1,0,1200,0,
1761,26969.293117523193,10,27,7897,7,23,3950,2759,
1762,3.5839080810546875,10,12,6398,8,8,3961,1909,
1763,3.615856170654297,10,12,6388,8,8,3951,1909,
1764,3.6668777465820312,10,12,6390,8,8,3953,1909,
1765,0.0,10,1,1244,2,0,1200,0,
1766,4.840850830078125,10,12,6394,7,8,3957,1909,
1767,3.8368701934814453,10,12,6389,8,8,3952,1909,
1768,3.2711029052734375,10,12,6388,8,8,3951,1909,
1769,4.252910614013672,10,12,6397,8,8,3960,1909,
1770,3.3559799194335938,10,12,6397,8,8,3960,1909,
1771,3.2930374145507812,10,12,6390,8,8,3953,1909,
1772,3.3540725708007812,10,12,6390,8,8,3953,1909,
1773,3.535032272338867,10,13,6628,8,9,3952,2104,
1774,3.5200119018554688,10,12,6390,8,8,3953,1909,
1775,4.153013229370117,10,14,6592,8,10,3951,2025,
1776,3.947019577026367,10,12,6396,8,8,3959,1909,
1777,3.504037857055664,10,12,6393,8,8,3956,1909,
1778,4.127025604248047,10,14,6602,8,10,3961,2025,
1779,4.067897796630859,10,12,6387,8,8,3950,1909,
1780,3.5140514373779297,10,12,6399,8,8,3962,1909,
1781,3.743886947631836,10,14,6596,8,10,3955,2025,
1782,22.140026092529297,10,16,7004,10,11,4084,2216,
1783,7.436037063598633,10,14,6716,8,10,3962,2138,
1784,26979.766130447388,10,28,7981,8,24,3960,2789,
1785,3.9658546447753906,10,12,6398,8,8,3961,1909,
1786,4.015922546386719,10,11,6314,8,7,3953,1877,
1787,4.065990447998047,10,12,6399,8,8,3962,1909,
1788,3.495931625366211,10,13,6633,8,9,3957,2104,
1789,3.6649703979492188,10,12,6389,8,8,3952,1909,
1790,26976.750135421753,10,28,7977,8,24,3956,2789,
1791,26973.32787513733,10,27,7901,8,23,3954,2759,
1792,3.4530162811279297,10,12,6400,8,8,3961,1911,
1793,4.454851150512695,10,12,6392,8,8,3955,1909,
1794,3.513813018798828,10,12,6388,8,8,3951,1909,
1795,4.097938537597656,10,12,6389,8,8,3952,1909,
1796,18.02992820739746,10,16,7001,10,11,4081,2216,
1797,3.489971160888672,10,12,6391,8,8,3954,1909,
1798,4.477977752685547,10,12,6388,8,8,3951,1909,
1799,3.3359527587890625,10,12,6390,8,8,3953,1909,
1800,3.6208629608154297,10,12,6387,8,8,3950,1909,
1801,5.161046981811523,10,12,6396,8,8,3959,1909,
1802,26973.74200820923,10,28,7977,8,24,3956,2789,
1803,0.0,10,1,1244,2,0,1200,0,
1804,4.221916198730469,10,12,6392,7,8,3955,1909,
1805,3.3850669860839844,10,13,6627,8,9,3951,2104,
1806,5.303859710693359,10,12,6398,8,8,3961,1909,
1807,4.364013671875,10,12,6399,8,8,3962,1909,
1808,3.7429332733154297,10,12,6387,8,8,3950,1909,
1809,4.189968109130859,10,11,6323,8,7,3962,1877,
1810,0.0,10,1,1244,2,0,1200,0,
1811,5.7239532470703125,10,12,6396,7,8,3959,1909,
1812,6.779909133911133,10,12,6391,8,8,3954,1909,
1813,3.7889480590820312,10,12,6387,8,8,3950,1909,
1814,3.468036651611328,10,12,6394,8,8,3957,1909,
1815,3.5600662231445312,10,12,6390,8,8,3953,1909,
1816,26970.052003860474,10,28,7984,8,24,3961,2791,
1817,4.346132278442383,10,13,6628,8,9,3952,2104,
1818,20.208120346069336,10,16,7002,10,11,4082,2216,
1819,3.6759376525878906,10,11,6321,8,7,3961,1876,
1820,0.0,10,1,1244,2,0,1200,0,
1821,5.403995513916016,10,13,6637,7,9,3961,2104,
1822,3.74603271484375,10,12,6399,8,8,3962,1909,
1823,4.190921783447266,10,12,6393,8,8,3956,1909,
1824,3.4589767456054688,10,12,6387,8,8,3950,1909,
1825,4.456996917724609,10,12,6389,8,8,3952,1909,
1826,3.618955612182617,10,12,6389,8,8,3952,1909,
1827,3.8521289825439453,10,12,6398,8,8,3961,1909,
1828,3.8487911224365234,10,12,6395,8,8,3958,1909,
1829,3.5219192504882812,10,12,6389,8,8,3952,1909,
1830,4.668951034545898,10,12,6387,8,8,3950,1909,
1831,4.019021987915039,10,12,6397,8,8,3960,1909,
1832,3.342151641845703,10,12,6387,8,8,3950,1909,
1833,3.56292724609375,10,12,6396,8,8,3959,1909,
1834,3.710031509399414,10,12,6394,8,8,3957,1909,
1835,0.0,10,1,1244,2,0,1200,0,
1836,5.53584098815918,10,12,6387,7,8,3950,1909,
1837,3.4618377685546875,10,12,6395,8,8,3958,1909,
1838,3.941059112548828,10,12,6399,8,8,3962,1909,
1839,3.7081241607666016,10,12,6388,8,8,3951,1909,
1840,26978.270769119263,10,28,7978,8,24,3957,2789,
1841,3.7059783935546875,10,12,6393,8,8,3956,1909,
1842,3.6649703979492188,10,12,6390,8,8,3953,1909,
1843,3.5469532012939453,10,12,6387,8,8,3950,1909,
1844,4.006862640380859,10,11,6314,8,7,3953,1877,
1845,3.6211013793945312,10,12,6398,8,8,3961,1909,
1846,3.39508056640625,10,11,6316,8,7,3956,1876,
1847,3.9370059967041016,10,12,6394,8,8,3957,1909,
1848,3.5200119018554688,10,12,6391,8,8,3954,1909,
1849,4.637956619262695,10,12,6396,8,8,3959,1909,
1850,20.615100860595703,10,16,7011,10,11,4091,2216,
1851,50.14395713806152,10,18,7210,10,13,4087,2331,
1852,4.556894302368164,10,12,6392,8,8,3955,1909,
1853,3.8518905639648438,10,13,6637,8,9,3961,2104,
1854,3.804922103881836,10,12,6391,8,8,3954,1909,
1855,0.0,10,1,1244,2,0,1200,0,
1856,15.77901840209961,10,15,6884,9,10,4090,2134,
1857,0.0,10,1,1244,2,0,1200,0,
1858,4.936933517456055,10,14,6600,7,10,3950,2034,
1859,3.1440258026123047,10,13,6629,8,9,3953,2104,
1860,4.467010498046875,10,12,6388,8,8,3951,1909,
1861,3.9701461791992188,10,12,6387,8,8,3950,1909,
1862,26974.83491897583,10,28,7973,8,24,3952,2789,
1863,0.0,10,1,1244,2,0,1200,0,
1864,26981.897115707397,10,28,7974,7,24,3953,2789,
1865,3.495931625366211,10,12,6394,8,8,3957,1909,
1866,4.132986068725586,10,12,6387,8,8,3950,1909,
1867,3.9589405059814453,10,12,6397,8,8,3960,1909,
1868,45.32194137573242,10,17,6830,8,13,3958,2124,
1869,0.0,10,1,1244,2,0,1200,0,
1870,3.9551258087158203,10,11,6322,7,7,3962,1876,
1871,3.74603271484375,10,12,6397,8,8,3960,1909,
1872,3.7529468536376953,10,12,6399,8,8,3962,1909,
1873,25451.131105422974,10,33,14118,8,29,3954,8712,
1874,26966.198205947876,10,28,7982,8,24,3961,2789,
1875,3.27301025390625,10,12,6387,8,8,3950,1909,
1876,3.2701492309570312,10,12,6392,8,8,3955,1909,
1877,0.0,10,1,1244,2,0,1200,0,
1878,4.050016403198242,10,12,6389,7,8,3952,1909,
1879,26980.05223274231,10,28,7975,8,24,3954,2789,
1880,3.4132003784179688,10,12,6393,8,8,3956,1909,
1881,3.4589767456054688,10,12,6389,8,8,3952,1909,
1882,18.640995025634766,10,16,7010,10,11,4090,2216,
1883,4.081010818481445,10,12,6391,8,8,3954,1909,
1884,4.309177398681641,10,13,6627,8,9,3951,2104,
1885,4.09388542175293,10,13,6638,8,9,3962,2104,
1886,3.5881996154785156,10,13,6626,8,9,3950,2104,
1887,3.675222396850586,10,12,6396,8,8,3959,1909,
1888,17.89712905883789,10,16,7004,10,11,4084,2216,
1889,17.85111427307129,10,16,6749,8,12,3954,2091,
1890,19.683837890625,10,17,7242,10,12,4082,2412,
1891,3.821134567260742,10,12,6392,8,8,3955,1909,
1892,4.10008430480957,10,12,6390,8,8,3953,1909,
1893,3.4639835357666016,10,12,6387,8,8,3950,1909,
1894,3.04412841796875,10,12,6387,8,8,3950,1909,
1895,3.534078598022461,10,12,6390,8,8,3953,1909,
1896,4.084110260009766,10,12,6387,8,8,3950,1909,
1897,0.0,10,1,1244,2,0,1200,0,
1898,14.838933944702148,10,15,6885,9,10,4091,2134,
1899,3.932952880859375,10,12,6398,8,8,3961,1909,
1900,4.254817962646484,10,12,6395,8,8,3958,1909,
1901,26985.644102096558,10,37,9060,10,32,4089,3343,
1902,6.128787994384766,10,12,6393,8,8,3956,1909,
1903,3.8099288940429688,10,12,6392,8,8,3955,1909,
1904,3.420114517211914,10,13,6627,8,9,3951,2104,
1905,3.592967987060547,10,12,6390,8,8,3953,1909,
1906,3.332853317260742,10,12,6394,8,8,3955,1911,
1907,3.2999515533447266,10,13,6638,8,9,3962,2104,
1908,3.350973129272461,10,13,6634,8,9,3958,2104,
