Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
99,3.9908885955810547,0,12,6397,8,8,3960,1909,
100,3.545045852661133,0,12,6398,8,8,3961,1909,
101,3.679037094116211,0,12,6397,8,8,3960,1909,
102,3.2880306243896484,0,12,6389,8,8,3952,1909,
103,3.6280155181884766,0,12,6393,8,8,3956,1909,
104,3.4928321838378906,0,12,6397,8,8,3960,1909,
105,3.407001495361328,0,12,6389,8,8,3952,1909,
106,3.5719871520996094,0,12,6395,8,8,3958,1909,
107,3.7190914154052734,0,12,6398,8,8,3961,1909,
108,3.5800933837890625,0,12,6398,8,8,3961,1909,
109,3.309011459350586,0,12,6399,8,8,3962,1909,
110,3.8690567016601562,0,12,6388,8,8,3951,1909,
111,3.304004669189453,0,12,6392,8,8,3955,1909,
112,3.376007080078125,0,12,6393,8,8,3956,1909,
113,3.0510425567626953,0,12,6393,8,8,3956,1909,
114,3.6468505859375,0,12,6394,8,8,3957,1909,
115,3.6649703979492188,0,12,6398,8,8,3961,1909,
116,3.309965133666992,0,12,6394,8,8,3957,1909,
117,3.915071487426758,0,12,6391,8,8,3954,1909,
118,3.590822219848633,0,12,6389,8,8,3952,1909,
119,3.1821727752685547,0,12,6392,8,8,3955,1909,
120,3.504037857055664,0,12,6390,8,8,3953,1909,
121,5.234956741333008,0,12,6388,8,8,3951,1909,
122,3.673076629638672,0,12,6392,8,8,3955,1909,
123,3.3998489379882812,0,12,6393,8,8,3956,1909,
124,4.252910614013672,0,12,6396,8,8,3959,1909,
125,3.9741992950439453,0,12,6396,8,8,3959,1909,
126,3.22723388671875,0,12,6396,8,8,3959,1909,
127,3.197908401489258,0,12,6392,8,8,3955,1909,
128,3.428936004638672,0,12,6389,8,8,3952,1909,
129,3.3159255981445312,0,12,6391,8,8,3954,1909,
130,3.4079551696777344,0,12,6392,8,8,3955,1909,
131,4.155158996582031,0,12,6391,8,8,3954,1909,
132,3.2749176025390625,0,12,6395,8,8,3958,1909,
133,3.5889148712158203,0,12,6396,8,8,3959,1909,
134,3.4110546112060547,0,12,6398,8,8,3961,1909,
135,3.3121109008789062,0,12,6391,8,8,3954,1909,
136,3.3490657806396484,0,12,6395,8,8,3958,1909,
137,3.342866897583008,0,12,6393,8,8,3956,1909,
138,3.0150413513183594,0,12,6392,8,8,3955,1909,
139,3.4189224243164062,0,12,6398,8,8,3961,1909,
140,3.1859874725341797,0,12,6393,8,8,3956,1909,
141,3.674030303955078,0,12,6397,8,8,3960,1909,
142,4.049062728881836,0,12,6394,8,8,3957,1909,
143,3.5021305084228516,0,12,6398,8,8,3961,1909,
144,3.409147262573242,0,12,6396,8,8,3959,1909,
145,3.222942352294922,0,12,6394,8,8,3957,1909,
146,4.688024520874023,0,12,6391,8,8,3954,1909,
147,3.281116485595703,0,12,6396,8,8,3959,1909,
148,3.5338401794433594,0,12,6392,8,8,3955,1909,
149,3.8518905639648438,0,12,6393,8,8,3956,1909,
150,3.406047821044922,0,12,6393,8,8,3956,1909,
151,3.3960342407226562,0,12,6392,8,8,3955,1909,
152,3.6530494689941406,0,12,6388,8,8,3951,1909,
153,3.4542083740234375,0,12,6399,8,8,3962,1909,
154,3.7169456481933594,0,12,6390,8,8,3953,1909,
155,2.994060516357422,0,12,6397,8,8,3960,1909,
156,3.1630992889404297,0,12,6387,8,8,3950,1909,
157,3.7469863891601562,0,12,6396,8,8,3959,1909,
158,3.576040267944336,0,12,6393,8,8,3956,1909,
159,3.448963165283203,0,12,6389,8,8,3952,1909,
160,4.456043243408203,0,12,6393,8,8,3956,1909,
161,3.798961639404297,0,12,6389,8,8,3952,1909,
162,3.5758018493652344,0,12,6396,8,8,3959,1909,
163,3.6389827728271484,0,12,6391,8,8,3954,1909,
164,3.7469863891601562,0,12,6398,8,8,3961,1909,
165,3.214120864868164,0,12,6396,8,8,3959,1909,
166,3.2248497009277344,0,12,6390,8,8,3953,1909,
167,3.718137741088867,0,12,6391,8,8,3954,1909,
168,4.449129104614258,0,12,6393,8,8,3956,1909,
169,3.226041793823242,0,12,6389,8,8,3952,1909,
170,3.554105758666992,0,12,6396,8,8,3959,1909,
171,4.499197006225586,0,12,6389,8,8,3952,1909,
