Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
160,10.441064834594727,0,9,7425,8,5,5108,1921,
161,10.118961334228516,0,9,7431,8,5,5114,1921,
162,7.057905197143555,0,9,7426,8,5,5109,1921,
163,8.575916290283203,0,9,7426,8,5,5109,1921,
164,9.279012680053711,0,9,7428,8,5,5111,1921,
165,6.839990615844727,0,9,7426,8,5,5109,1921,
166,8.36801528930664,0,9,7432,8,5,5115,1921,
167,10.421037673950195,0,9,7424,8,5,5107,1921,
168,7.689952850341797,0,9,7430,8,5,5113,1921,
169,8.197784423828125,0,9,7429,8,5,5112,1921,
170,9.776115417480469,0,9,7431,8,5,5114,1921,
171,6.338834762573242,0,9,7431,8,5,5114,1921,
172,8.852958679199219,0,9,7433,8,5,5116,1921,
173,7.241010665893555,0,9,7433,8,5,5116,1921,
174,7.931947708129883,0,9,7434,8,5,5117,1921,
175,10.384082794189453,0,9,7432,8,5,5115,1921,
176,7.866859436035156,0,9,7426,8,5,5109,1921,
177,8.793830871582031,0,9,7432,8,5,5115,1921,
178,7.360935211181641,0,9,7435,8,5,5118,1921,
179,7.457971572875977,0,9,7433,8,5,5116,1921,
180,8.93092155456543,0,9,7428,8,5,5111,1921,
181,7.899045944213867,0,9,7433,8,5,5116,1921,
182,9.735107421875,0,9,7426,8,5,5109,1921,
183,6.754159927368164,0,9,7435,8,5,5118,1921,
184,10.277986526489258,0,9,7430,8,5,5113,1921,
185,8.780956268310547,0,9,7424,8,5,5107,1921,
186,9.675979614257812,0,9,7433,8,5,5116,1921,
187,8.126974105834961,0,9,7429,8,5,5112,1921,
188,8.413076400756836,0,9,7436,8,5,5119,1921,
189,8.794069290161133,0,9,7428,8,5,5111,1921,
190,6.4220428466796875,0,9,7428,8,5,5111,1921,
191,7.743120193481445,0,9,7435,8,5,5118,1921,
192,11.657953262329102,0,9,7425,8,5,5108,1921,
193,10.943889617919922,0,11,7581,8,7,5114,1983,
194,8.76307487487793,0,9,7431,8,5,5114,1921,
195,6.999015808105469,0,9,7432,8,5,5115,1921,
196,8.589029312133789,0,9,7426,8,5,5109,1921,
197,7.206916809082031,0,9,7430,8,5,5113,1921,
198,7.412910461425781,0,9,7430,8,5,5113,1921,
199,9.338140487670898,0,9,7424,8,5,5107,1921,
200,10.102987289428711,0,9,7424,8,5,5107,1921,
201,8.889913558959961,0,9,7436,8,5,5119,1921,
202,7.851123809814453,0,9,7424,8,5,5107,1921,
203,9.004831314086914,0,9,7436,8,5,5119,1921,
204,9.504079818725586,0,9,7430,8,5,5113,1921,
205,8.441925048828125,0,9,7424,8,5,5107,1921,
206,8.830070495605469,0,9,7433,8,5,5116,1921,
207,8.46099853515625,0,9,7433,8,5,5116,1921,
208,9.820938110351562,0,9,7434,8,5,5117,1921,
209,7.930994033813477,0,9,7429,8,5,5112,1921,
210,9.10496711730957,0,9,7429,8,5,5112,1921,
211,9.089946746826172,0,9,7424,8,5,5107,1921,
212,8.72802734375,0,9,7430,8,5,5113,1921,
213,10.696887969970703,0,9,7426,8,5,5109,1921,
214,8.49008560180664,0,9,7435,8,5,5118,1921,
215,8.260011672973633,0,9,7434,8,5,5117,1921,
216,8.859872817993164,0,9,7435,8,5,5118,1921,
217,10.07699966430664,0,9,7425,8,5,5108,1921,
218,7.508039474487305,0,9,7434,8,5,5117,1921,
219,9.588956832885742,0,9,7425,8,5,5108,1921,
220,8.579015731811523,0,9,7431,8,5,5114,1921,
221,8.851051330566406,0,9,7427,8,5,5110,1921,
222,9.17196273803711,0,9,7433,8,5,5116,1921,
223,7.318019866943359,0,9,7434,8,5,5117,1921,
224,11.915206909179688,0,9,7425,8,5,5108,1921,
225,7.9250335693359375,0,9,7424,8,5,5107,1921,
226,10.447978973388672,0,9,7430,8,5,5113,1921,
227,10.408163070678711,0,9,7435,8,5,5118,1921,
228,9.833812713623047,0,9,7428,8,5,5111,1921,
229,9.477853775024414,0,9,7425,8,5,5108,1921,
230,8.491992950439453,0,9,7431,8,5,5114,1921,
231,9.18889045715332,0,9,7433,8,5,5116,1921,
232,9.351968765258789,0,9,7432,8,5,5115,1921,
233,7.063150405883789,0,9,7427,8,5,5110,1921,
234,7.98487663269043,0,9,7429,8,5,5112,1921,
235,8.085012435913086,0,9,7429,8,5,5112,1921,
236,8.442878723144531,0,9,7432,8,5,5115,1921,
237,7.155895233154297,0,9,7432,8,5,5115,1921,
238,8.856058120727539,0,9,7425,8,5,5108,1921,
239,8.250951766967773,0,9,7435,8,5,5118,1921,
240,7.687807083129883,0,9,7431,8,5,5114,1921,
241,10.092973709106445,0,9,7433,8,5,5116,1921,
242,8.96906852722168,0,9,7430,8,5,5113,1921,
243,8.803844451904297,0,9,7427,8,5,5110,1921,
244,7.904052734375,0,9,7435,8,5,5118,1921,
245,7.921934127807617,0,9,7428,8,5,5111,1921,
246,8.462905883789062,0,9,7432,8,5,5115,1921,
247,9.2010498046875,0,9,7431,8,5,5114,1921,
248,8.38017463684082,0,9,7426,8,5,5109,1921,
249,8.620023727416992,0,9,7433,8,5,5116,1921,
250,9.663820266723633,0,9,7424,8,5,5107,1921,
251,8.339881896972656,0,9,7428,8,5,5111,1921,
252,7.93004035949707,0,9,7425,8,5,5108,1921,
253,9.736061096191406,0,9,7433,8,5,5116,1921,
254,7.961034774780273,0,9,7428,8,5,5111,1921,
255,6.706953048706055,0,9,7430,8,5,5113,1921,
256,11.373043060302734,0,9,7425,8,5,5108,1921,
257,8.667945861816406,0,9,7426,8,5,5109,1921,
258,9.654045104980469,0,9,7432,8,5,5115,1921,
259,7.374048233032227,0,9,7434,8,5,5117,1921,
260,9.100914001464844,0,9,7435,8,5,5118,1921,
261,8.157014846801758,0,9,7424,8,5,5107,1921,
262,7.8029632568359375,0,9,7427,8,5,5110,1921,
263,7.475137710571289,0,9,7430,8,5,5113,1921,
264,8.292913436889648,0,9,7434,8,5,5117,1921,
265,8.957862854003906,0,9,7431,8,5,5114,1921,
266,7.827997207641602,0,9,7425,8,5,5108,1921,
267,9.504079818725586,0,9,7435,8,5,5118,1921,
268,9.33694839477539,0,9,7432,8,5,5115,1921,
269,7.1659088134765625,0,9,7427,8,5,5110,1921,
270,8.810043334960938,0,9,7436,8,5,5119,1921,
271,8.711099624633789,0,9,7433,8,5,5116,1921,
272,9.284019470214844,0,9,7428,8,5,5111,1921,
