Timestamp,Timestamp (Seconds),CPU %,CPU Frequency,Virtual Memory %,Virtual Memory,Swap Memory %,Swap Memory,Disk Usage %,Disk Usage,
2021-05-18 13:11:43.082511,1621343503.082511,0.0,,13.1,747270144,0.0,0,82.8,41314029568,
2021-05-18 13:11:44.084770,1621343504.08477,0.5,,13.1,747270144,0.0,0,82.8,41314029568,
2021-05-18 13:11:45.087394,1621343505.087394,0.0,,13.1,747270144,0.0,0,82.8,41314029568,
2021-05-18 13:11:46.090877,1621343506.090877,0.0,,13.1,747270144,0.0,0,82.8,41314029568,
2021-05-18 13:11:47.094234,1621343507.094234,0.0,,13.1,747261952,0.0,0,82.8,41314029568,
2021-05-18 13:11:48.100568,1621343508.100568,0.0,,13.1,747261952,0.0,0,82.8,41314029568,
2021-05-18 13:11:49.103093,1621343509.103093,0.0,,13.1,747261952,0.0,0,82.8,41314029568,
2021-05-18 13:11:50.105285,1621343510.105285,2.5,,13.2,747540480,0.0,0,82.8,41314033664,
2021-05-18 13:11:51.108089,1621343511.108089,0.0,,13.2,747536384,0.0,0,82.8,41314037760,
2021-05-18 13:11:52.109965,1621343512.109965,0.0,,13.2,747536384,0.0,0,82.8,41314037760,
2021-05-18 13:11:53.111881,1621343513.111881,0.5,,13.2,747536384,0.0,0,82.8,41314037760,
2021-05-18 13:11:54.113777,1621343514.113777,0.0,,13.2,747536384,0.0,0,82.8,41314037760,
2021-05-18 13:11:55.115939,1621343515.115939,0.0,,13.2,747794432,0.0,0,82.8,41314037760,
2021-05-18 13:11:56.117086,1621343516.117086,0.0,,13.2,747782144,0.0,0,82.8,41314037760,
2021-05-18 13:11:57.118688,1621343517.118688,0.0,,13.2,747782144,0.0,0,82.8,41314037760,
2021-05-18 13:11:58.120174,1621343518.120174,0.0,,13.2,747782144,0.0,0,82.8,41314037760,
2021-05-18 13:11:59.122272,1621343519.122272,0.0,,13.2,747778048,0.0,0,82.8,41314041856,
2021-05-18 13:12:00.126595,1621343520.126595,1.0,,13.1,747257856,0.0,0,82.8,41314041856,
2021-05-18 13:12:01.128719,1621343521.128719,0.0,,13.1,747253760,0.0,0,82.8,41314045952,
2021-05-18 13:12:02.130626,1621343522.130626,0.0,,13.1,747253760,0.0,0,82.8,41314045952,
2021-05-18 13:12:03.133198,1621343523.133198,0.0,,13.1,747253760,0.0,0,82.8,41314045952,
2021-05-18 13:12:04.135268,1621343524.135268,0.0,,13.1,747253760,0.0,0,82.8,41314045952,
2021-05-18 13:12:05.138536,1621343525.138536,0.5,,13.1,747245568,0.0,0,82.8,41314045952,
2021-05-18 13:12:06.151479,1621343526.151479,0.5,,13.1,747245568,0.0,0,82.8,41314045952,
2021-05-18 13:12:07.153906,1621343527.153906,0.0,,13.1,747245568,0.0,0,82.8,41314045952,
2021-05-18 13:12:08.156832,1621343528.156832,0.0,,13.1,747245568,0.0,0,82.8,41314045952,
2021-05-18 13:12:09.161502,1621343529.161502,0.0,,13.1,747245568,0.0,0,82.8,41314045952,
2021-05-18 13:12:10.167261,1621343530.167261,3.5,,13.1,747036672,0.0,0,82.8,41314054144,
2021-05-18 13:12:11.173509,1621343531.173509,0.0,,13.1,746967040,0.0,0,82.8,41314058240,
2021-05-18 13:12:12.176674,1621343532.176674,0.5,,13.1,746999808,0.0,0,82.8,41314058240,
2021-05-18 13:12:13.179381,1621343533.179381,6.7,,13.1,746999808,0.0,0,82.8,41314058240,
2021-05-18 13:12:14.181360,1621343534.18136,4.6,,13.1,746999808,0.0,0,82.8,41314058240,
2021-05-18 13:12:15.186867,1621343535.186867,6.3,,13.1,746987520,0.0,0,82.8,41314062336,
2021-05-18 13:12:16.198913,1621343536.198913,2.5,,13.1,746987520,0.0,0,82.8,41314062336,
2021-05-18 13:12:17.200207,1621343537.200207,0.5,,13.1,746987520,0.0,0,82.8,41314062336,
2021-05-18 13:12:18.232406,1621343538.232406,0.5,,13.1,746987520,0.0,0,82.8,41314062336,
2021-05-18 13:12:19.241537,1621343539.241537,0.5,,13.1,746987520,0.0,0,82.8,41314062336,
2021-05-18 13:12:20.264439,1621343540.264439,2.5,,13.1,747253760,0.0,0,82.8,41314062336,
2021-05-18 13:12:21.265808,1621343541.265808,0.0,,13.1,747249664,0.0,0,82.8,41314066432,
2021-05-18 13:12:22.268769,1621343542.268769,0.0,,13.1,747216896,0.0,0,82.8,41314066432,
2021-05-18 13:12:23.299110,1621343543.29911,0.5,,13.1,747216896,0.0,0,82.8,41314070528,
2021-05-18 13:12:24.302963,1621343544.302963,0.0,,13.1,747212800,0.0,0,82.8,41314070528,
2021-05-18 13:12:25.304985,1621343545.304985,5.1,,13.1,747204608,0.0,0,82.8,41314070528,
2021-05-18 13:12:26.307816,1621343546.307816,7.1,,13.2,747462656,0.0,0,82.8,41314070528,
2021-05-18 13:12:27.311097,1621343547.311097,12.2,,13.2,747720704,0.0,0,82.8,41314070528,
2021-05-18 13:12:28.324944,1621343548.324944,6.5,,13.2,747704320,0.0,0,82.8,41314070528,
2021-05-18 13:12:29.332634,1621343549.332634,13.5,,13.2,747704320,0.0,0,82.8,41314070528,
2021-05-18 13:12:30.344074,1621343550.344074,12.1,,13.2,747446272,0.0,0,82.8,41314070528,
2021-05-18 13:12:31.356032,1621343551.356032,1.0,,13.2,747442176,0.0,0,82.8,41314074624,
2021-05-18 13:12:32.359458,1621343552.359458,9.6,,13.2,747442176,0.0,0,82.8,41314074624,
2021-05-18 13:12:33.361799,1621343553.361799,30.5,,13.2,747753472,0.0,0,82.8,41314078720,
2021-05-18 13:12:34.373202,1621343554.373202,42.6,,13.2,751673344,0.0,0,82.8,41314078720,
2021-05-18 13:12:35.426182,1621343555.426182,6.9,,13.2,751652864,0.0,0,82.8,41314091008,
2021-05-18 13:12:36.431526,1621343556.431526,5.5,,13.2,751652864,0.0,0,82.8,41314091008,
2021-05-18 13:12:37.455391,1621343557.455391,8.9,,13.2,751652864,0.0,0,82.8,41314091008,
2021-05-18 13:12:38.460066,1621343558.460066,8.0,,13.2,751394816,0.0,0,82.8,41314091008,
2021-05-18 13:12:39.465516,1621343559.465516,7.1,,13.2,751685632,0.0,0,82.8,41314091008,
2021-05-18 13:12:40.490861,1621343560.490861,4.4,,13.2,750387200,0.0,0,82.8,41314099200,
2021-05-18 13:12:41.499914,1621343561.499914,10.2,,13.2,750383104,0.0,0,82.8,41314103296,
2021-05-18 13:12:42.516709,1621343562.516709,10.0,,13.2,750899200,0.0,0,82.8,41314103296,
2021-05-18 13:12:43.522221,1621343563.522221,0.0,,13.2,750891008,0.0,0,82.8,41314103296,
2021-05-18 13:12:44.530031,1621343564.530031,0.5,,13.2,750891008,0.0,0,82.8,41314103296,
2021-05-18 13:12:45.534238,1621343565.534238,8.0,,13.2,750891008,0.0,0,82.8,41314103296,
2021-05-18 13:12:46.540324,1621343566.540324,7.0,,13.2,751149056,0.0,0,82.8,41314103296,
2021-05-18 13:12:47.543353,1621343567.543353,3.0,,13.2,751140864,0.0,0,82.8,41314103296,
2021-05-18 13:12:48.546880,1621343568.54688,13.5,,13.2,751398912,0.0,0,82.8,41314103296,
2021-05-18 13:12:49.560421,1621343569.560421,7.1,,13.2,751382528,0.0,0,82.8,41314107392,
2021-05-18 13:12:50.562685,1621343570.562685,14.1,,13.2,750596096,0.0,0,82.8,41314107392,
2021-05-18 13:12:51.565198,1621343571.565198,19.6,,13.2,750592000,0.0,0,82.8,41314111488,
2021-05-18 13:12:52.570567,1621343572.570567,21.3,,13.2,750592000,0.0,0,82.8,41314111488,
2021-05-18 13:12:53.575018,1621343573.575018,8.0,,13.2,750583808,0.0,0,82.8,41314111488,
2021-05-18 13:12:54.581361,1621343574.581361,1.5,,13.2,750583808,0.0,0,82.8,41314111488,
2021-05-18 13:12:55.584085,1621343575.584085,14.2,,13.2,750583808,0.0,0,82.8,41314111488,
2021-05-18 13:12:56.586788,1621343576.586788,15.5,,13.2,750583808,0.0,0,82.8,41314111488,
2021-05-18 13:12:57.614442,1621343577.614442,8.9,,13.2,750583808,0.0,0,82.8,41314111488,
2021-05-18 13:12:58.618499,1621343578.618499,17.0,,13.2,750583808,0.0,0,82.8,41314111488,
2021-05-18 13:12:59.621549,1621343579.621549,9.0,,13.2,750583808,0.0,0,82.8,41314111488,
2021-05-18 13:13:00.624012,1621343580.624012,7.0,,13.2,750575616,0.0,0,82.8,41314115584,
2021-05-18 13:13:01.626505,1621343581.626505,8.2,,13.2,750571520,0.0,0,82.8,41314119680,
2021-05-18 13:13:02.628994,1621343582.628994,6.2,,13.2,750571520,0.0,0,82.8,41314119680,
2021-05-18 13:13:03.632806,1621343583.632806,6.7,,13.2,750571520,0.0,0,82.8,41314119680,
2021-05-18 13:13:04.637369,1621343584.637369,15.0,,13.2,750571520,0.0,0,82.8,41314119680,
