Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1617065167.01779,1617065167.026687,467,8.896827697753906,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065167.029786,1617065167.038507,468,8.720874786376953,0,9,7429,8,5,5112,1921,,0.0,0,0,
1617065167.042376,1617065167.050593,469,8.21685791015625,0,9,7430,8,5,5113,1921,,0.0,0,0,
1617065167.05383,1617065167.062187,470,8.357048034667969,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065167.066121,1617065167.075285,471,9.163856506347656,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065167.079445,1617065167.088679,472,9.234189987182617,0,9,7433,8,5,5116,1921,,0.0,0,0,
1617065167.091999,1617065167.102245,473,10.246038436889648,0,9,7431,8,5,5114,1921,,0.0,0,0,
1617065167.105173,1617065167.114214,474,9.04083251953125,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065167.117899,1617065167.126413,475,8.514165878295898,0,9,7431,8,5,5114,1921,,0.0,0,0,
1617065167.129489,1617065167.137647,476,8.157968521118164,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065167.140568,1617065167.149427,477,8.858919143676758,0,9,7433,8,5,5116,1921,,0.0,0,0,
1617065167.153184,1617065167.16027,478,7.086038589477539,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065167.165223,1617065167.174235,479,9.012222290039062,0,9,7430,8,5,5113,1921,,0.0,0,0,
1617065167.177613,1617065167.188804,480,11.19089126586914,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065167.192701,1617065167.200431,481,7.730007171630859,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065167.204089,1617065167.2137,482,9.611129760742188,0,9,7430,8,5,5113,1921,,0.0,0,0,
1617065167.217195,1617065167.226947,483,9.752035140991211,0,9,7433,8,5,5116,1921,,0.0,0,0,
1617065167.230159,1617065167.239021,484,8.862018585205078,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065167.242328,1617065167.251474,485,9.145975112915039,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065167.25468,1617065167.263096,486,8.416175842285156,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065167.26701,1617065167.275754,487,8.744001388549805,0,9,7433,8,5,5116,1921,,0.0,0,0,
1617065167.279416,1617065167.289043,488,9.62686538696289,0,9,7427,8,5,5110,1921,,0.0,0,0,
1617065167.292121,1617065167.299502,489,7.380962371826172,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065167.303531,1617065167.312159,490,8.628129959106445,0,9,7427,8,5,5110,1921,,0.0,0,0,
1617065167.315575,1617065167.322186,491,6.611108779907227,0,9,7436,8,5,5119,1921,,0.0,0,0,
1617065167.3254,1617065167.333273,492,7.872819900512695,0,9,7433,8,5,5116,1921,,0.0,0,0,
1617065167.337087,1617065167.346102,493,9.015083312988281,0,9,7432,8,5,5115,1921,,0.0,0,0,
1617065167.349763,1617065167.35809,494,8.327007293701172,0,9,7427,8,5,5110,1921,,0.0,0,0,
1617065167.361493,1617065167.370693,495,9.199857711791992,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065167.378547,1617065167.389802,496,11.255025863647461,0,9,7429,8,5,5112,1921,,0.0,0,0,
1617065167.393643,1617065167.402128,497,8.485078811645508,0,9,7433,8,5,5116,1921,,0.0,0,0,
1617065167.405215,1617065167.414976,498,9.760856628417969,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065167.417985,1617065167.427424,499,9.43899154663086,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065167.430844,1617065167.439225,500,8.380889892578125,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065167.442206,1617065167.450481,501,8.275032043457031,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065167.453473,1617065167.461563,502,8.090019226074219,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065167.465053,1617065167.473536,503,8.482933044433594,0,9,7427,8,5,5110,1921,,0.0,0,0,
1617065167.477136,1617065167.484265,504,7.129192352294922,0,9,7430,8,5,5113,1921,,0.0,0,0,
1617065167.487624,1617065167.494179,505,6.555080413818359,0,9,7433,8,5,5116,1921,,0.0,0,0,
1617065167.49701,1617065167.504978,506,7.967948913574219,0,9,7432,8,5,5115,1921,,0.0,0,0,
1617065167.508343,1617065167.516803,507,8.460044860839844,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065167.519939,1617065167.529772,508,9.833097457885742,0,9,7429,8,5,5112,1921,,0.0,0,0,
1617065167.532946,1617065167.542922,509,9.975910186767578,0,9,7433,8,5,5116,1921,,0.0,0,0,
1617065167.546474,1617065167.554454,510,7.980108261108398,0,9,7430,8,5,5113,1921,,0.0,0,0,
1617065167.557748,1617065167.566172,511,8.423805236816406,0,9,7436,8,5,5119,1921,,0.0,0,0,
1617065167.569961,1617065167.580804,512,10.843038558959961,0,9,7435,8,5,5118,1921,,0.0,0,0,
1617065167.585244,1617065167.593537,513,8.29315185546875,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065167.597278,1617065167.60644,514,9.161949157714844,0,9,7427,8,5,5110,1921,,0.0,0,0,
1617065167.609856,1617065167.617965,515,8.109092712402344,0,9,7435,8,5,5118,1921,,0.0,0,0,
1617065167.620997,1617065167.628812,516,7.815122604370117,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065167.632506,1617065167.640984,517,8.478164672851562,0,9,7435,8,5,5118,1921,,0.0,0,0,
1617065167.644563,1617065167.65434,518,9.777069091796875,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065167.657687,1617065167.666131,519,8.444070816040039,0,9,7436,8,5,5119,1921,,0.0,0,0,
1617065167.669511,1617065167.679621,520,10.109901428222656,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065167.682547,1617065167.691595,521,9.047985076904297,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065167.695524,1617065167.703669,522,8.14509391784668,0,9,7427,8,5,5110,1921,,0.0,0,0,
1617065167.707755,1617065167.716481,523,8.725881576538086,0,9,7432,8,5,5115,1921,,0.0,0,0,
1617065167.720126,1617065167.729567,524,9.441137313842773,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065167.733432,1617065167.741367,525,7.935047149658203,0,9,7427,8,5,5110,1921,,0.0,0,0,
1617065167.745338,1617065167.753104,526,7.766008377075195,0,9,7429,8,5,5112,1921,,0.0,0,0,
1617065167.756704,1617065167.764422,527,7.71784782409668,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065167.768264,1617065167.778301,528,10.036945343017578,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065167.782271,1617065167.79056,529,8.289098739624023,0,9,7427,8,5,5110,1921,,0.0,0,0,
1617065167.794144,1617065167.80281,530,8.666038513183594,0,9,7435,8,5,5118,1921,,0.0,0,0,
1617065167.806395,1617065167.815012,531,8.616924285888672,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065167.818386,1617065167.827153,532,8.766889572143555,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065167.829933,1617065167.839127,533,9.194135665893555,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065167.841742,1617065167.848453,534,6.711006164550781,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065167.852271,1617065167.860114,535,7.843017578125,0,9,7430,8,5,5113,1921,,0.0,0,0,
1617065167.863804,1617065167.87163,536,7.8258514404296875,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065167.874235,1617065167.881866,537,7.631063461303711,0,9,7429,8,5,5112,1921,,0.0,0,0,
1617065167.886768,1617065167.894771,538,8.002996444702148,0,9,7431,8,5,5114,1921,,0.0,0,0,
1617065167.897959,1617065167.906149,539,8.189916610717773,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065167.909808,1617065167.917995,540,8.187055587768555,0,9,7432,8,5,5115,1921,,0.0,0,0,
1617065167.92189,1617065167.931565,541,9.675025939941406,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065167.934676,1617065167.942315,542,7.639169692993164,0,9,7436,8,5,5119,1921,,0.0,0,0,
1617065167.946298,1617065167.956247,543,9.949207305908203,0,11,7582,8,7,5115,1983,,0.0,0,0,
1617065167.958622,1617065167.970986,544,12.363910675048828,0,9,7432,8,5,5115,1921,,0.0,0,0,
1617065167.974273,1617065167.982349,545,8.075952529907227,0,9,7432,8,5,5115,1921,,0.0,0,0,
1617065167.985431,1617065167.994341,546,8.909940719604492,0,9,7430,8,5,5113,1921,,0.0,0,0,
1617065167.997944,1617065168.006696,547,8.751869201660156,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065168.011394,1617065168.019249,548,7.854938507080078,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065168.023061,1617065168.031179,549,8.117914199829102,0,9,7431,8,5,5114,1921,,0.0,0,0,
1617065168.035094,1617065168.043293,550,8.198976516723633,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065168.047181,1617065168.055124,551,7.943153381347656,0,9,7429,8,5,5112,1921,,0.0,0,0,
1617065168.059323,1617065168.067574,552,8.250951766967773,0,9,7429,8,5,5112,1921,,0.0,0,0,
1617065168.070798,1617065168.077454,553,6.656169891357422,0,9,7431,8,5,5114,1921,,0.0,0,0,
1617065168.081217,1617065168.087934,554,6.71696662902832,0,9,7431,8,5,5114,1921,,0.0,0,0,
1617065168.090776,1617065168.098744,555,7.967948913574219,0,9,7428,8,5,5111,1921,,0.0,0,0,
