Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1617065848.058223,1617065848.066128,1052,7.905006408691406,10,9,7425,8,5,5108,1921,,0.0,0,0,
1617065848.086655,1617065848.094107,1053,7.4520111083984375,10,9,7433,8,5,5116,1921,,0.0,0,0,
1617065848.113445,1617065848.122523,1054,9.078025817871094,10,9,7425,8,5,5108,1921,,0.0,0,0,
1617065848.143566,1617065848.172876,1055,29.309988021850586,10,9,6605,8,5,4288,1921,,0.0,0,0,
1617065848.195008,1617065848.205122,1056,10.113954544067383,10,9,7428,8,5,5111,1921,,0.0,0,0,
1617065848.376992,1617065848.385714,1057,8.722066879272461,10,9,7432,8,5,5115,1921,,0.0,0,0,
1617065848.406939,1617065848.417853,1058,10.914087295532227,10,9,7426,8,5,5109,1921,,0.0,0,0,
1617065848.438617,1617065848.448835,1059,10.217905044555664,10,8,6478,7,4,4246,1880,,0.0,0,0,
1617065848.467698,1617065848.476837,1060,9.138822555541992,10,11,7584,8,7,5117,1983,,0.0,0,0,
1617065848.496685,1617065848.505232,1061,8.547067642211914,10,8,7351,8,4,5119,1880,,0.0,0,0,
1617065848.527599,1617065848.551365,1062,23.76580238342285,10,9,6613,8,5,4296,1921,,0.0,0,0,
1617065848.572738,1617065848.581815,1063,9.077072143554688,10,9,7432,8,5,5115,1921,,0.0,0,0,
1617065848.60206,1617065848.610365,1064,8.304834365844727,10,9,7425,8,5,5108,1921,,0.0,0,0,
1617065848.63097,1617065848.639819,1065,8.848905563354492,10,9,7432,8,5,5115,1921,,0.0,0,0,
1617065848.659146,1617065848.668965,1066,9.81903076171875,10,9,7430,8,5,5113,1921,,0.0,0,0,
1617065848.688377,1617065848.714821,1067,26.444196701049805,10,9,6604,8,5,4287,1921,,0.0,0,0,
1617065848.735313,1617065848.744635,1068,9.322166442871094,10,9,7431,8,5,5114,1921,,0.0,0,0,
1617065848.76588,1617065848.774213,1069,8.332967758178711,10,9,7434,8,5,5117,1921,,0.0,0,0,
1617065848.794453,1617065848.803942,1070,9.489059448242188,10,9,7424,8,5,5107,1921,,0.0,0,0,
1617065848.976456,1617065848.985559,1071,9.103059768676758,10,9,7429,8,5,5112,1921,,0.0,0,0,
1617065849.005646,1617065849.014213,1072,8.567094802856445,10,9,7436,8,5,5119,1921,,0.0,0,0,
1617065849.034036,1617065849.042343,1073,8.30698013305664,10,9,7429,8,5,5112,1921,,0.0,0,0,
1617065849.064046,1617065849.071842,1074,7.796049118041992,10,9,7435,8,5,5118,1921,,0.0,0,0,
1617065849.095202,1617065849.104304,1075,9.102106094360352,10,8,7346,8,4,5114,1880,,0.0,0,0,
1617065849.124105,1617065849.133592,1076,9.486913681030273,10,9,7433,8,5,5116,1921,,0.0,0,0,
1617065849.15418,1617065849.163522,1077,9.341955184936523,10,9,7434,8,5,5117,1921,,0.0,0,0,
1617065849.186,1617065849.195254,1078,9.253978729248047,10,9,7428,8,5,5111,1921,,0.0,0,0,
